"category","name","brand","sku","price","currency","vatRate","colours","swatch","accent","fabric","details","fit","roleTags","leadTime","minOrder","sizeRange","imageHint","imageUrl","supplierName","productUrl","active"
"bottoms","Ladies Performance Skort","Marina Yacht Wear","MYW-LPS-LIGHTGREY-34","65","EUR","0","Light Grey|Dark Grey|Navy|Black","#ffffff","#0b1f3a","86% polyamide / 14% elastane Unit weight: approx","High-Performance Yachting Skort for Professional Crew The Ladies Performance Skort is crafted for women in the yachting industry who want the elegance of a skirt with the practicality of shorts. Made from 86% polyamide and 14% elastane , this stretch, quick-dry fabric ensures comfort, mobility, and a sharp professional look on board. Key Features Performance fabric : lightweight, breathable, and quick-dry — perfect for warm climates at sea. Stretch comfort : elastane blend provides freedom of mo","woman","","","1","34–TBD","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-performance-skort-2806131.png?v=1765366339","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-performance-skort","true"
"tops","Ladies Luxury Stretch Polo Tee Jays","Tee Jays","TJ145","39","EUR","0","White|Navy|Black|Light Grey|Dark Grey|Beige","#ffffff","#0b1f3a","95% Ringspun cotton, 5% Elastane for superior comfort and stretch retention","The Premier Uniform Solution for Professional Female Crews Outfit the Ladies on your team with the Tee Jays Ladies Luxury Stretch Polo, the definitive choice for high-end crew uniforms. Designed to balance the rigors of active duty with a polished, professional appearance, this polo ensures your team looks and performs their best throughout long shifts. While many uniforms sacrifice fit for function, this Ladies Luxury Stretch Polo features a tailored feminine cut (cintré) that provides a sleek,","woman","","","1","S–3XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-luxury-stretch-polo-tee-jays-6611492.png?v=1770994773","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-luxury-stretch-polo-tee-jays","true"
"tops","Men’s Luxury Stretch Polo Tee Jays","Tee Jays","TJ1405","39","EUR","0","White|Black|Light Grey|Dark Grey|Navy|Beige","#ffffff","#0b1f3a","","The Premier Uniform Solution for Professional Crews Outfit your entire team with the Men’s Luxury Stretch Polo Tee Jays , the gold standard for high-end crew uniforms. Designed to withstand the rigors of active duty while maintaining a pristine appearance, this polo balances performance with polish. Built for movement, the 95% ringspun cotton and 5% elastane blend provides the flexibility your crew needs—whether serving guests, managing events, or working on deck. The heavyweight 215 gsm mini pi","man","","","1","S–3XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Men_s_Yacht_Crew_Polos.png?v=1767603928","Marina Yacht Wear","https://www.marinayachtwear.com/products/men-s-luxury-stretch-polo-tee-jays","true"
"outerwear","Ladies Softshell Hooded Jacket","Kariban","K651_53971_53965","109","EUR","0","Black|Navy|Dark Grey|Blue|Red","#ffffff","#0b1f3a","95% Polyester / 5% Elastane Construction: Bonded 3-layer softshell Middle Layer: Breathable membrane for moisture regulation Inner Layer: Soft microfleece for lightweight warmth Lining: 100% quilted p","Premium 3-Layer Marine Protection Specially designed for professional Ladies working in the yachting and marine industry, this Ladies Softshell Hooded Jacket offers technical performance, comfort, and a clean, modern look suited for demanding onboard environments. Built with high-quality materials and engineered for crew usage, this Jacket delivers reliable protection in changing offshore conditions while remaining lightweight, warm, and breathable. Key Features of the Ladies Softshell Hooded Ja","woman","","","1","XS–2XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-softshell-hooded-jacket-6446387.png?v=1763129108","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-softshell-hooded-jacket","true"
"outerwear","Men's Softshell Hooded Jacket","Kariban","K650_53962_53955","109","EUR","0","Black|Navy|Dark Grey|Red|Blue","#ffffff","#0b1f3a","95% Polyester / 5% Elastane Construction: Bonded 3-layer softshell Inner Layer: Soft microfleece for warmth Middle Layer: Breathable membrane Lining: 100% quilted polyester for extra insulation ✔ Prof","Premium 3-Layer Marine Protection Discover the ultimate performance Men's Softshell Hooded Jacket designed for professional yachting crews, marina staff, and demanding marine environments. Engineered with a robust 3-layer construction, advanced weather protection, and a clean, logo-free surface ideal for crew customization, this Men's Softshell Hooded Jacket delivers exceptional comfort, durability, and technical performance at sea. Men's Softshell Hooded Jacket Key Features ✔ 3-Layer Technical ","man","","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-softshell-hooded-jacket-6275869.png?v=1763129116","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-softshell-hooded-jacket","true"
"bottoms","Men's Chino Bermuda Kariban","Kariban","K750_55140_55131","35","EUR","0","Beige|Blue|Light Grey|White|Navy|Black|Dark Grey","#ffffff","#0b1f3a","","The Ultimate Yacht Crew Bermudas Introducing our premium Men's Chino Bermuda by Kariban , meticulously designed for yacht crew uniforms. Crafted from a blend of 98% cotton twill and 2% elastane , these Bermuda shorts provide unparalleled comfort and flexibility, making them the ideal choice for maritime professionals. Key Features: Optimal Comfort The enzyme-washed fabric ensures a soft, luxurious feel, providing ultimate comfort during long hours onboard. Practical and Stylish Design Features 2","man","","","1","38–54","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-chino-bermuda-kariban-7948213.png?v=1765364453","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-chino-bermuda-kariban","true"
"shoes","Tropicfeel AT HDry® All Sneakers","Tropicfeel","2510184U10136","115.5","EUR","0","White|Black|Navy|Khaki","#ffffff","#0b1f3a","","Tropicfeel AT HDry® All Sneakers The Tropicfeel AT HDry® All Sneakers are designed for people who need reliable and versatile footwear. Because they combine waterproof protection, strong grip, and all-day comfort, they are ideal for professional yacht crews and outdoor travelers. These sneakers adapt easily from onboard work to shore activities. Why These Sneakers Work for Yacht Crew First, they are fully waterproof thanks to the HDry® membrane that keeps your feet dry in any condition. In addit","woman|man","","","1","","shoes","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/tropicfeel-at-hdry-all-sneakers-2752301.jpg?v=1761013885","Marina Yacht Wear","https://www.marinayachtwear.com/products/tropicfeel-at-hdry®-all-sneakers","true"
"tops","Ladies Round Neck Sweater Merinos Tee Jays","Tee Jays","tj6006","59","EUR","0","Grey|Navy|Black","#ffffff","#0b1f3a","Crafted from a high-quality blend of 50% Merino Wool and 50% Acrylic , ensuring exceptional softness, breathability, and resilience","The Ideal Choice for Female Yacht Crews Upgrade your yacht crew’s wardrobe with the Ladies Round Neck Sweater by Tee Jays , the perfect balance of refined elegance, luxurious comfort, and lasting performance . Designed especially for women working in the maritime environment, this sweater blends functionality with feminine sophistication—ideal both on and off duty. Key Features 1. Premium Fabric Blend for Comfort and Durability Luxurious Composition: Crafted from a high-quality blend of 50% Meri","woman","","","1","S–2XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Ladies_Yacht_Crew_Sweaters.png?v=1767628319","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-round-neck-sweater","true"
"tops","Ladies Elegance Bermuda","Marina Yacht Wear","MYW-LEB-DARKGREY-34","75","EUR","0","Dark Grey|Black","#ffffff","#0b1f3a","","Elegant and Functional Bermudas for Ladies The Ladies Elegance Bermuda is designed for stewardesses and female yacht crew who need a perfect balance of elegance, comfort, and durability . Crafted from high-quality technical fabrics, these shorts deliver a refined look while supporting the active demands of life on board. Key Features Premium fabric blend : made of 60% cotton, 35% polyester, and 5% spandex , ensuring breathability, comfort, and flexibility. Smart-Dry technology : efficiently wick","woman","","","1","34–42","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Ladies_Yacht_Crew_Bermuda_-_Marina_Yacht_Wear.png?v=1767621622","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-elegance-bermuda","true"
"outerwear","Ladies Long Sleeve Softshell Jacket KARIBAN","Kariban","K400_34609_20315","49","EUR","0","White|Black|Dark Grey|Navy|Blue|Red|Light Grey","#ffffff","#0b1f3a","95% polyester / 5% elastane – 3-layer bonded fabric","Technical Softshell Jacket for Ladies Yacht Crew The Ladies Long Sleeve Softshell Jacket – KARIBAN is designed for Ladies working in demanding marine environments who require reliable protection, freedom of movement, and a professional look. This 3-layer softshell combines performance, durability, and comfort, making it an essential piece for yacht crew uniforms. Key Features 3-layer construction : breathable membrane (3000 g/m²/24h) and waterproof up to 8000 mm Windproof and water-resistant : p","woman","","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-long-sleeve-softshell-jacket-kariban-7651524.png?v=1760019554","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-long-sleeve-softshell-jacket-kariban","true"
"dresses","Ladies V-Neck Dress","PVD","S799F_92495_92488","40","EUR","0","White|Navy","#ffffff","#0b1f3a","","Elegant & Functional Yacht Stewardess Uniform The Ladies V-Neck Dress is the perfect blend of professional elegance and comfort , designed to meet the daily needs of yacht stewardesses . Its sleek sleeveless cut and classic collar provide a polished, guest-facing look, while the stretch fabric ensures ease of movement during long hours of service onboard. Key Features Professional yet feminine design – sleeveless with a flattering flared skirt High-performance fabric : 78% recycled polyester / 2","woman","","","1","XS–2XL","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-v-neck-dress-7910406.png?v=1765366335","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-v-neck-dress","true"
"bottoms","A-Line Skirt Chloe","NEOBLU","NB3795","48","EUR","0","Black|Navy","#ffffff","#0b1f3a","","Timeless Elegance for Yacht Crew Uniforms The A-Line Skirt Chloe is the perfect combination of professional elegance and practical comfort, making it an ideal piece for luxury yacht crew uniforms. With its classic knee-length cut and subtle A-line silhouette, this skirt offers a flattering fit that enhances movement while maintaining a sophisticated appearance. Key Features : Knee-length A-line design – elegant and functional Concealed back zip closure for a seamless look Premium Milano knit ble","woman|man","","","1","34–46","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/A-Line_Skirt_Chloe.png?v=1765365960","Marina Yacht Wear","https://www.marinayachtwear.com/products/a-line-skirt-chloe","true"
"dresses","Ladies Milano Dress","NEOBLU","NB3171","49","EUR","0","Navy|Black","#ffffff","#0b1f3a","Oeko-Tex Standard 100 , vegan production, fair working conditions Available in sizes 36–46 and in classic maritime colors: Deep Black and Night Navy Why this dress is Perfect for Yacht Crews This Mila","Professional Elegance for Yacht Crew Uniforms The Ladies Milano Dress is designed to bring timeless sophistication and everyday practicality to yacht crew uniforms. Crafted from a high-quality Milano knit fabric (74% polyester, 23% viscose, 3% elastane), it offers both durability and comfort , making it ideal for long hours onboard. Its mid-length cut , short sleeves , and round neckline create a professional yet feminine silhouette that suits a variety of crew roles. Key Features Invisible back","woman","","","1","36–46","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-milano-dress-4437930.png?v=1765366337","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-milano-dress","true"
"tops","Ladies Long Sleeve Puffer Vest","Kariban","K6121_54926_53946","79","EUR","0","White|Black|Dark Grey|Navy|Silver|Blue","#ffffff","#0b1f3a","Solid colors: 100% polyamide Marl Silver: 70% polyester / 30% polyamide Marl Dark Grey: 70% polyamide / 30% polyester Filling: polyester padding Weight: Lightweight fabric (35 g/m²) Warmth: Polyester ","The Ladies Long Sleeve Puffer Vest combines warmth, comfort, and elegance in an ultra-light design. Made from durable polyamide with polyester padding, it delivers effective insulation while remaining flexible and breathable—perfect for professional yachting crews, outdoor activities, or everyday wear. Specially designed with a feminine, tailored fit , this puffer enhances the silhouette while offering the same performance as the men’s version. Its packable design allows it to be easily compress","woman","","","1","XS–2XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-long-sleeve-puffer-vest-1740502.png?v=1759522409","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-long-sleeve-puffer-vest","true"
"tops","Men's Long Sleeve Puffer Vest","Kariban","K6120_54924_53936","79","EUR","0","White|Black|Navy|Dark Grey|Silver|Blue","#ffffff","#0b1f3a","Solid colors: 100% polyamide Marl Silver: 70% polyester / 30% polyamide Marl Dark Grey: 70% polyamide / 30% polyester Filling: polyester padding Weight: Lightweight fabric (35 g/m²) Warmth: Insulated ","The Men's Long Sleeve Puffer Vest is designed to deliver warmth, comfort, and practicality without the bulk. Crafted from durable polyamide with polyester padding, it provides effective insulation while remaining ultra-light and flexible, making it ideal for both professional and casual use. With its packable design, the Men's Long Sleeve Puffer Vest can be compressed into its own storage pouch, making it the perfect companion for yachting, outdoor work, or travel. Easy to maintain, resistant, a","man","","","1","S–4XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-long-sleeve-puffer-vest-7634289.png?v=1759522405","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-long-sleeve-puffer-vest","true"
"shirts","B&C Men's Long Sleeve Cotton T-shirt","B&C","CGTU03T_56615_56529","13.5","EUR","0","White|Black|Dark Grey|Navy|Light Grey|Blue","#ffffff","#0b1f3a","100% ring-spun, pre-shrunk cotton (Sport Grey: 85% cotton / 15% viscose) Fit: Contemporary classic with tubular construction Weight: 185 g/m² Sizes: S to 3XL Colors available: Wide palette including W","The B&C Men's Long Sleeve Cotton T-shirt is a versatile wardrobe essential designed for both comfort and durability. Made from 100% pre-shrunk, ring-spun cotton (Sport Grey: 85% cotton / 15% viscose), it offers a smooth, even surface for printing and a soft, comfortable touch, making it perfect for customization or everyday wear. With its contemporary classic fit, tubular construction, and fine ribbed collar, this Men's Long Sleeve Cotton T-shirt provides a timeless look and excellent shape rete","man","","","1","S–3XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/bc-mens-long-sleeve-cotton-t-shirt-5156667.png?v=1759936699","Marina Yacht Wear","https://www.marinayachtwear.com/products/b-c-mens-long-sleeve-cotton-t-shirt","true"
"shirts","B&C Ladies Long Sleeve Cotton T-shirt","B&C","CGTW08TC_62677_62674","13.5","EUR","0","Black|White|Dark Grey|Navy|Light Grey|Blue","#ffffff","#0b1f3a","100% ring-spun, pre-shrunk cotton (Sport Grey: 85% cotton / 15% viscose) Fit: Contemporary classic with side seams Weight: 185 g/m² Sizes: XS to 3XL Colors available: Wide range including White, Black","The B&C Ladies Long Sleeve Cotton T-shirt combines comfort, durability, and a modern look, making it the perfect essential for both casual wear and custom branding. Crafted from 100% pre-shrunk, ring-spun cotton (Sport Grey: 85% cotton / 15% viscose), it offers a smooth surface ideal for printing and a soft, comfortable feel . Its contemporary classic fit , side seams, and fine ribbed collar ensure a flattering silhouette, while the long sleeves make it versatile across seasons. With a weight of","woman","","","1","XS–3XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/bc-ladies-long-sleeve-cotton-t-shirt-8392847.png?v=1759936700","Marina Yacht Wear","https://www.marinayachtwear.com/products/b-c-ladies-long-sleeve-cotton-t-shirt","true"
"shirts","B&C Men's Cotton T-shirt","B&C","CGTU03T_56615_56533","8.5","EUR","0","White|Black|Navy|Dark Grey|Beige|Blue|Light Grey|Khaki","#ffffff","#0b1f3a","100% ring-spun, pre-shrunk cotton Fit: Contemporary classic with tubular construction Weight: 185 g/m² Sizes: XS to 3XL Colors available: 40 shades Certifications: OEKO-TEX® Standard 100 Size Guide","The B&C Men's Cotton T-shirt is a timeless essential combining comfort, durability, and versatility. Made from 100% pre-shrunk, ring-spun cotton, it offers a smooth surface ideal for printing and a soft touch for everyday wear. Designed with a contemporary classic fit, tubular construction, fine ribbed collar, and a satin label, it is perfect for casual use or as a reliable base for customization and branding. With a weight of 185 g/m², this cotton t-shirt provides excellent balance between ligh","man","","","1","XS–3XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/bc-mens-cotton-t-shirt-9449897.png?v=1759936700","Marina Yacht Wear","https://www.marinayachtwear.com/products/b-c-mens-cotton-t-shirt","true"
"shirts","B&C Ladies Cotton T-shirt","B&C","CGTW04T_56759_5671","8.5","EUR","0","White|Black|Navy|Dark Grey|Beige|Blue|Light Grey|Khaki","#ffffff","#0b1f3a","100% ring-spun, pre-shrunk cotton Fit: Contemporary classic with side seams Weight: 185 g/m² Sizes: XS to 2XL Colors available: 40 shades Certifications: OEKO-TEX® Standard 100 Size Guide :","The B&C Ladies Cotton T-shirt is the perfect blend of comfort, durability, and style. Made from 100% pre-shrunk, ring-spun cotton , it offers a smooth surface ideal for printing and a soft touch for everyday wear . Its contemporary classic fit with side seams, fine ribbed collar, and satin label makes it a versatile choice for both casual outfits and custom branding. With a weight of 185 g/m² , this B&C Ladies Cotton T-shirt strikes the perfect balance between lightweight comfort and lasting qua","woman","","","1","XS–2XL","shirt","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/bc-ladies-cotton-t-shirt-1009906.png?v=1759936701","Marina Yacht Wear","https://www.marinayachtwear.com/products/b-c-ladies-cotton-t-shirt","true"
"tops","Ladies polo with contrasting piping","Kariban","K273_85273_85266","20","EUR","0","Black|Navy|Grey|Red|Blue|White","#ffffff","#0b1f3a","100% combed cotton Weight: 180 g/m² for breathable comfort Piqué knit: smooth surface, perfect for embroidery and personalization Design: feminine fit, short sleeves, two-button placket with tone-on-t","The Ladies polo with contrasting piping combines feminine style with professional detailing, making it ideal for uniforms, yachting crews, or casual corporate wear. Made from 100% combed cotton, it features a piqué knit fabric that provides a smooth, durable surface, perfect for embroidery, logos, or customization. Its slightly fitted cut flatters the silhouette while offering all-day comfort. The design is enhanced with contrasting piping on the collar and sleeve hems, giving the polo a modern,","woman","","","1","XS–2XL","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-polo-with-contrasting-piping-8289423.png?v=1770995000","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-polo-with-contrasting-piping","true"
"bottoms","Men's polo with contrasting piping","Kariban","K272_85258_85250","20","EUR","0","Black|Navy|White|Grey|Red|Blue","#ffffff","#0b1f3a","100% combed cotton Weight: 180 g/m² for lightweight comfort Piqué knit: smooth surface, ideal for embroidery and personalization Design: short sleeves, fitted cut, two-button placket with tone-on-tone","The Men's polo with contrasting piping is a stylish and versatile short-sleeve polo shirt designed for both professional and casual wear. Made from 100% combed cotton , it offers a piqué knit fabric that is smooth, durable, and ideal for embroidery or customization. Its fitted cut gives a modern silhouette, while the contrast piping on the collar and sleeve hems provides a distinctive, sporty look. Details such as the two-button placket with tone-on-tone buttons , reinforced side slits , and rib","man","","","1","S–3XL","shorts","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/mens-polo-with-contrasting-piping-9769509.png?v=1759853902","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-polo-with-contrasting-piping","true"
"tops","Clip-on tie","Premier","PR785_26124_26123","20","EUR","0","Black|Grey|Silver|Navy|Red","#ffffff","#0b1f3a","100% polyester Size: One Size Care instructions: machine washable","The Clip-On Tie is the perfect solution for yachting crews seeking elegance, safety, and practicality in their uniforms. Designed with a secure clip fastening, it ensures a polished appearance at all times while being quick and easy to put on. Ideal for long working days onboard, this tie offers both professional style and functional convenience. Key Features Easy to wear : clip fastening allows fast attachment and removal, saving time for busy crew members. Professional look : classic tie shape","woman|man","","","1","","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/clip-on-tie-4912396.jpg?v=1757482684","Marina Yacht Wear","https://www.marinayachtwear.com/products/clip-on-tie","true"
"outerwear","Ladies No Sleeve Softshell Jacket Kariban","Kariban","K404_20352_20348","40","EUR","0","Black|Navy|Blue|Dark Grey|Red|White|Light Grey","#ffffff","#0b1f3a","95% polyester / 5% elastane Material weight: 300 g/m² Sizes: S – 3XL Colors: Wide palette (White, Black, Aqua Blue, Navy, Titanium, Red, and more) Care instructions: machine washable at 40°C; do not t","The Ladies No Sleeve Softshell Jacket by Kariban is engineered for yachting crews who need professional uniforms combining performance, comfort, and elegance. With its 3-layer bonded fabric, this sleeveless softshellsleeveless softshell offers windproof, waterproof, and breathable protection while ensuring freedom of movement—ideal for active work onboard. Key Features High-performance fabric : 95% polyester / 5% elastane outer shell. 3-layer construction : Exterior: polyester & elastane with wa","woman","","","1","S–3XL","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Ladies_No_Sleeve_Softshell_Jacket_Kariban.png?v=1773243283","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-no-sleeve-softshell-jacket-kariban","true"
"tops","Satin Tie","Kariban","K860_46748_46747","18","EUR","0","Black|Dark Grey|Navy|Silver","#ffffff","#0b1f3a","","Evening Wear for Yachting Professionals Elevate your crew’s evening attire with our satin tie , the perfect accessory for formal occasions on board. Designed to combine elegance and practicality, this tie brings a refined finishing touch to professional uniforms. Sophisticated look : its chic satin finish ensures a timeless, polished appearance suitable for cocktail receptions, dinners, and formal yacht events. Practical design : available in one universal size (147 x 8 cm), it adapts perfectly ","woman|man","","","1","","polo","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Yacht_Crew_Scarves_Ties.jpg?v=1767691300","Marina Yacht Wear","https://www.marinayachtwear.com/products/satin-tie","true"
"dresses","Ladies Long Sleeve Elegance Dress Shirt with Shoulder Tabs","Marina Yacht Wear","MYW-LLSEDS-WHITE-S","59","EUR","0","White|Black","#ffffff","#0b1f3a","eco-tech performance fabric (65% recycled polyester / 35% organic cotton), this dress shirt is: Breathable – stays fresh during long shifts Quick-dry & wrinkle-resistant – perfect for fast-paced crew ","Ladies Long Sleeve Dress Shirt with Shoulder Tabs – Marina Yacht Wear The Ladies Long Sleeve Elegance Dress Shirt with Shoulder Tabs is a refined essential for ladies yacht crew uniforms and professional hospitality settings. Designed to combine elegance, comfort, and durability , this dress shirt is crafted for the demands of life at sea while remaining versatile enough for corporate or onshore use. Premium Fabric & Performance Made from eco-tech performance fabric (65% recycled polyester / 35%","woman","","","1","S–TBD","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Ladies_Long_Sleeve_Dress_Shirt_with_Shoulder_Tabs_Black.png?v=1761743052","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-long-sleeve-elegance-dress-shirt-with-shoulder-tabs","true"
"outerwear","Ladies Softshell Jacket Marina Yacht Wear","Marina Yacht Wear","MYW-LSJ-NAVY-S","109","EUR","0","Navy|Black","#ffffff","#0b1f3a","","Ladies Softshell Jacket Marina Yacht Wear Product Description Elegant, technical, and tailored for the female silhouette, the Ladies Softshell Jacket Marina Yacht Wear is the ideal garment for yachting professionals and active women seeking style and functionality. Designed to withstand wind and light rain while offering breathability and freedom of movement, this jacket is a must-have for crew uniforms or nautical lifestyle wear. Ladies Softshell Jacket Key Features Water-Repellent & Windproof ","woman","","","1","S–TBD","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/ladies-softshell-jacket-marina-yacht-wear-6121113.png?v=1753882316","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-softshell-jacket-marina-yacht-wear","true"
"outerwear","Men's Softshell Jacket MYW","Marina Yacht Wear","MYW-MSJ-NAVY-S","109","EUR","0","Navy|Black|Bleu Roi","#ffffff","#0b1f3a","","Men’s Softshell Jacket MYW Engineered for performance and designed with elegance, the Marina Yacht Wear Men’s Softshell Jacket is your ultimate companion for demanding marine environments and everyday wear. This jacket offers the perfect balance between protection, comfort, and style, making it an essential piece for crew uniforms or casual yachting apparel. Men's Softshell Jacket Key Features Water-Repellent & Windproof : Keeps you protected during variable weather conditions. Breathable Softsh","man","","","1","S–TBD","jacket","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Men_s_Softshell_Jacket_by_Marina_Yacht_Wear.jpg?v=1753802138","Marina Yacht Wear","https://www.marinayachtwear.com/products/mens-softshell-jacket-myw","true"
"shoes","Tropicfeel Sneakers Sunset","Tropicfeel","2410102U11636","82.5","EUR","0","White|Navy|Blue","#ffffff","#0b1f3a","","TROPICFEEL SUNSET SNEAKERS The Tropicfeel Sunset is a supremely lightweight, packable shoe engineered to shift from a snug slipper into a sleek sneaker in seconds—ideal for crew life on deck and off-duty adventures. With breathable mesh, fast-drain tech, and flexibility, they perform effortlessly across marine and urban settings Crew-Ready Benefits 24‑hour wearability : Ultra-light materials and dual cushion construction deliver cloud-like comfort all day long. Water‑friendly & quick-dry : Drain","woman|man","","","1","","shoes","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/tropicfeel-sneakers-sunset-7819467.jpg?v=1753799340","Marina Yacht Wear","https://www.marinayachtwear.com/products/tropicfeel-sunset-sneakers","true"
"shoes","Tropicfeel Sneakers All-Terrain 2","Tropicfeel","2510106U10036","107.5","EUR","0","White|Black|Navy|Khaki|Light Grey","#ffffff","#0b1f3a","","TROPICFEEL ALL‑TERRAIN 2 SNEAKERS The Tropicfeel All-Terrain 2 is a premium travel sneaker designed for ultimate versatility — combining the breathability of a sports shoe, the grip of a hiking boot, and the styling of a minimalist sneaker. Perfectly suited to crew needs on board superyachts or off-boat excursions, these sneakers adapt to your day whether you’re provisioning, assisting guests, or exploring port towns. Why We Recommend the Tropicfeel Sneakers All-Terrain 2 for Crew Amphibious Fun","woman|man","","","1","","shoes","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/tropicfeel-sneakers-all-terrain-2-8839940.jpg?v=1760963545","Marina Yacht Wear","https://www.marinayachtwear.com/products/tropicfeel-sneaker-all-terrain-2","true"
"shoes","Tropicfeel Sneakers AT Lite","Tropicfeel","2510132U10036","99.5","EUR","0","White|Light Grey|Dark Grey|Blue","#ffffff","#0b1f3a","","TROPICFEEL AT LITE SNEAKERS The Tropicfeel AT Lite is a high-performance sneaker built for yacht crew and active travel. Designed to be ultra-lightweight, water-friendly, and breathable, it's the ideal all-in-one shoe for life onboard, ashore, and everywhere in between. Engineered for fast drying, all-terrain grip, and everyday wear — this is a staple for crew needing function and flexibility without compromising style. Why We Recommend Tropicfeel Sneakers AT Lite for Crew Water-Friendly : Built","woman|man","","","1","","shoes","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/tropicfeel-sneakers-at-lite-2318759.jpg?v=1753799347","Marina Yacht Wear","https://www.marinayachtwear.com/products/tropicfeel-sneakers-at-lite","true"
"dresses","Ladies 3/4 Sleeve Dress","Marina Yacht Wear","MYW-L34SD-BLACK-34","119","EUR","0","Noir","#ffffff","#0b1f3a","55% Wool , 41% Polyester , 4% Elastane This technical blend ensures breathability, flexibility, and structure , maintaining a polished shape while allowing easy movement during service","Ladies 3/4 Sleeve Dress – Elegance and Comfort for Yacht Stewardesses Designed for refined service and all-day performance, the Ladies 3/4 Sleeve Dress offers the perfect balance between elegant coverage, modern style, and functional comfort. Tailored specifically for yacht stewardesses, this dress brings sophistication to every detail while meeting the demands of maritime hospitality. Key Features Flattering 3/4 Sleeve Silhouette Tailored for Stewardesses: Perfect for interior crew and guest-fa","woman","","","1","34–TBD","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Capture_d_ecran_2024-11-22_a_09.35.38.png?v=1732264574","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-3-4-sleeve-dress","true"
"dresses","Ladies Cap Sleeve Dress","Marina Yacht Wear","MYW-LCSD-NAVY-34","119","EUR","0","Navy|Black","#ffffff","#0b1f3a","Free from harmful substances—safe on the skin for prolonged wear","Ladies Cap Sleeve Dress – Elegant Functionality for Yacht Stewardesses Bring timeless elegance and functional design to your yacht crew uniforms with the Ladies Cap Sleeve Dress . Specifically tailored for stewardesses, this dress blends refined style, breathable comfort, and maritime practicality—perfect for delivering five-star service at sea with confidence and poise. Key Features Tailored for Yacht Life Designed for Stewardesses: This dress is ideal for interior crew members who balance eleg","woman","","","1","34–TBD","dress","https://cdn.shopify.com/s/files/1/0921/2559/3938/files/Capture_d_ecran_2024-11-22_a_09.39.50.png?v=1732264831","Marina Yacht Wear","https://www.marinayachtwear.com/products/ladies-cap-sleeve-dress","true"
